Line,Turnout,variable,Date,value,DateTime,Remarks,ML_max,ML_min,SL_max,SL_min,status,Lat,Long,Passed,ML exceeds,SL exceeds,No value
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2022-01-27,1433.0,2022-01-27 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-12-20,1426.0,2021-12-20 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-11-04,1431.0,2021-11-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-08-04,1433.0,2021-08-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-05-20,1432.0,2021-05-20 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-02-03,1431.0,2021-02-03 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2020-11-04,1433.0,2020-11-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2020-08-04,1433.0,2020-08-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_LH,2021-12-20,14.0,2021-12-20 00:00:01,After,1437.0,1430.0,1452.0,1427.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2023-10-10,1434.0,2023-10-10 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2023-07-09,1434.0,2023-07-09 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2023-04-04,1434.0,2023-04-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2023-01-26,1434.0,2023-01-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2022-10-12,1434.0,2022-10-12 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2022-07-26,1435.0,2022-07-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2022-04-19,1433.0,2022-04-19 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2022-01-27,1435.0,2022-01-27 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-12-20,1438.0,2021-12-20 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,ML exceeds,22.3364186,114.2070792,0,1,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-11-04,1433.0,2021-11-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-08-04,1434.0,2021-08-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-05-20,1434.0,2021-05-20 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-02-03,1433.0,2021-02-03 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2020-11-04,1435.0,2020-11-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2020-08-04,1435.0,2020-08-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge At Wing End/Lead_RH,2021-12-20,14.0,2021-12-20 00:00:01,After,1437.0,1430.0,1452.0,1427.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2023-10-10,1431.0,2023-10-10 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2023-07-09,1432.0,2023-07-09 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2023-04-04,1432.0,2023-04-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2023-01-26,1435.0,2023-01-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2022-10-12,1435.0,2022-10-12 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2022-07-26,1435.0,2022-07-26 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2022-04-19,1433.0,2022-04-19 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2022-01-27,1434.0,2022-01-27 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2021-12-20,1426.0,2021-12-20 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,SL exceeds,22.3364186,114.2070792,0,0,1,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2021-11-04,1433.0,2021-11-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
KTL,CHH72,Crossing_Gauge at Heel_LH,2021-08-04,1435.0,2021-08-04 00:00:00,Before,1437.0,1430.0,1452.0,1427.0,Passed,22.3364186,114.2070792,1,0,0,0
